City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Keats,AU,88.92,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
3,Maun,BW,80.56,clear sky,-19.9833,23.4167,Enviro Villa
5,Faanui,PF,79.18,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
14,Saint Anthony,US,75.7,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
18,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
21,Poum,NC,75.51,broken clouds,-20.2333,164.0167,Gîte kajeon
25,Emerald,AU,80.98,scattered clouds,-23.5333,148.1667,The Irish Village
26,Hithadhoo,MV,81.39,overcast clouds,-0.6,73.0833,Scoop Guest House
29,Hilo,US,81.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
30,Aransas Pass,US,82.4,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
40,Elat,IL,75.04,clear sky,29.5581,34.9482,Club Hotel Eilat
45,Tura,IN,75.22,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
50,Bilma,NE,84.36,clear sky,18.6853,12.9164,Expeditions Ténére voyages
53,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
58,Luwuk,ID,80.56,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
59,Atuona,PF,78.04,clear sky,-9.8,-139.0333,Villa Enata
63,Bengkulu,ID,76.41,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
64,Butaritari,KI,81.72,light rain,3.0707,172.7902,Isles Sunset Lodge
70,Iranshahr,IR,83.73,few clouds,27.2025,60.6848,نیک سرشت
78,Pacifica,US,88.21,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
84,Pacific Grove,US,85.75,clear sky,36.6177,-121.9166,Lovers Point Inn
85,Santa Rosalia,MX,78.01,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
90,Bull Savanna,JM,78.49,clear sky,17.8868,-77.5902,Big Red's
91,Bartica,GY,77.32,scattered clouds,6.4,-58.6167,Sloth Island Nature Resort
99,Jalingo,NG,75.04,light rain,8.8833,11.3667,Debright Motel
102,Dzilam Gonzalez,MX,81.81,overcast clouds,21.2833,-88.9333,posadas
104,Jizan,SA,86.94,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
105,Guozhen,CN,75.15,light rain,34.3659,107.359,Yucai Hotel
108,Cabo San Lucas,MX,86.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
114,Belle Glade,US,82.99,clear sky,26.6845,-80.6676,Mid-City Trailer Park
120,Port Blair,IN,82.49,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
124,Isangel,VU,78.91,overcast clouds,-19.55,169.2667,Tanna Lodge
126,Mae Hong Son,TH,78.94,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
128,Hobyo,SO,77.88,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
