City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Keats,AU,-14.25,129.55,88.92,53,3,7.74,clear sky
1,Tuatapere,NZ,-46.1333,167.6833,53.82,65,90,10.42,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,42.46,56,20,18.41,few clouds
3,Maun,BW,-19.9833,23.4167,80.56,36,0,5.75,clear sky
4,Kuytun,RU,54.3419,101.5036,34.63,71,83,6.93,broken clouds
5,Faanui,PF,-16.4833,-151.75,79.18,73,0,17.6,clear sky
6,Bredasdorp,ZA,-34.5322,20.0403,58.32,94,100,11.5,light rain
7,Upernavik,GL,72.7868,-56.1549,32.61,71,100,14.36,overcast clouds
8,Barrow,US,71.2906,-156.7887,30.22,74,90,10.36,haze
9,Lebu,CL,-37.6167,-73.65,50.16,85,100,5.95,overcast clouds
10,Longyearbyen,SJ,78.2186,15.6401,35.44,80,40,3.44,scattered clouds
11,Busselton,AU,-33.65,115.3333,63.09,83,100,11.52,light rain
12,Rikitea,PF,-23.1203,-134.9692,73.31,73,10,16.51,clear sky
13,Torbay,CA,47.6666,-52.7314,60.76,99,90,0.0,fog
14,Saint Anthony,US,45.0205,-93.218,75.7,77,90,3.44,overcast clouds
15,Albany,US,42.6001,-73.9662,50.81,93,100,5.46,overcast clouds
16,Kruisfontein,ZA,-34.0033,24.7314,58.89,95,81,4.92,broken clouds
17,Port Lincoln,AU,-34.7333,135.8667,58.53,65,21,10.36,few clouds
18,Vaini,TO,-21.2,-175.2,75.36,88,75,9.22,broken clouds
19,Punta Arenas,CL,-53.15,-70.9167,41.11,65,75,16.11,broken clouds
20,Saint-Augustin,CA,51.226,-58.6502,46.51,92,100,24.47,overcast clouds
21,Poum,NC,-20.2333,164.0167,75.51,81,62,24.58,broken clouds
22,Norman Wells,CA,65.282,-126.8329,41.04,70,75,6.91,broken clouds
23,Nanortalik,GL,60.1432,-45.2371,37.69,65,0,7.76,clear sky
24,Agadir,MA,30.4202,-9.5982,72.05,28,0,6.67,clear sky
25,Emerald,AU,-23.5333,148.1667,80.98,36,40,12.26,scattered clouds
26,Hithadhoo,MV,-0.6,73.0833,81.39,74,100,3.49,overcast clouds
27,Castro,BR,-24.7911,-50.0119,58.51,91,0,7.9,clear sky
28,Carballo,ES,43.213,-8.691,56.86,94,100,2.55,overcast clouds
29,Hilo,US,19.7297,-155.09,81.28,92,90,3.44,moderate rain
30,Aransas Pass,US,27.9095,-97.15,82.4,85,1,7.0,clear sky
31,Jinchang,CN,38.4953,102.1739,65.52,18,0,3.02,clear sky
32,Salamiyah,SY,35.0113,37.0532,65.52,75,0,5.06,clear sky
33,Seydi,TM,39.4816,62.9137,54.07,40,0,15.79,clear sky
34,Mar Del Plata,AR,-38.0023,-57.5575,56.88,63,0,4.0,fog
35,Kodiak,US,57.79,-152.4072,47.71,46,90,8.05,light rain
36,Kaitangata,NZ,-46.2817,169.8464,56.93,53,68,12.28,broken clouds
37,Miyako,JP,39.6367,141.9525,66.65,95,100,9.08,moderate rain
38,Pisco,PE,-13.7,-76.2167,62.65,82,0,18.41,clear sky
39,Port Hueneme,US,34.1478,-119.1951,92.32,46,1,11.5,clear sky
40,Elat,IL,29.5581,34.9482,75.04,78,0,11.5,clear sky
41,Pevek,RU,69.7008,170.3133,27.72,80,100,9.01,overcast clouds
42,Carauari,BR,-4.8828,-66.8958,72.88,98,100,0.85,moderate rain
43,Raudeberg,NO,61.9875,5.1352,56.07,74,100,4.0,overcast clouds
44,Alta Floresta,BR,-9.8756,-56.0861,72.34,92,68,3.13,broken clouds
